trace,time,uid,subtype,type,amount,ncalls,snapshots
,10202068672,main.main,Callees [#],time,4.0,1,0
,10202068672,main.main,Callees Mean [#],time,3.9207734515433775e-10,1,0
,10202068672,main.main,Total Inclusive T [ms],time,10202.068672,1,0
,10202068672,main.main,Total Inclusive T [%],time,1.0,1,0
,10202068672,main.main,Total Exclusive T [ms],time,10151.289739,1,0
,10202068672,main.main,Total Exclusive T [%],time,0.9950226826898975,1,0
,10202068672,main.main,Total Morestack T [ms],time,0.0,1,0
,10202068672,main.main,Total Morestack T [%],time,0.0,1,0
,10202068672,main.main,I Mean,time,10202.068672,1,0
,10202068672,main.main,E Mean,time,10151.289739,1,0
,10202068672,main.main,I Min,time,10202068672.0,1,0
,10202068672,main.main,E Min,time,10151289739.0,1,0
,10202068672,main.main,I Max,time,10202068672.0,1,0
,10202068672,main.main,E Max,time,10151289739.0,1,0
,10202068672,main.main.func1,Callees [#],time,10.0,1,0
,10202068672,main.main.func1,Callees Mean [#],time,9.808137446502022e-10,1,0
,10202068672,main.main.func1,Total Inclusive T [ms],time,10195.615686,1,0
,10202068672,main.main.func1,Total Inclusive T [%],time,0.9993674825952005,1,0
,10202068672,main.main.func1,Total Exclusive T [ms],time,10035.24963,1,0
,10202068672,main.main.func1,Total Exclusive T [%],time,0.9836485082228625,1,0
,10202068672,main.main.func1,Total Morestack T [ms],time,0.0,1,0
,10202068672,main.main.func1,Total Morestack T [%],time,0.0,1,0
,10202068672,main.main.func1,I Mean,time,10195.615686,1,0
,10202068672,main.main.func1,E Mean,time,10035.24963,1,0
,10202068672,main.main.func1,I Min,time,10195615686.0,1,0
,10202068672,main.main.func1,E Min,time,10035249630.0,1,0
,10202068672,main.main.func1,I Max,time,10195615686.0,1,0
,10202068672,main.main.func1,E Max,time,10035249630.0,1,0
,10202068672,main.main.func2,Callees [#],time,5.0,1,0
,10202068672,main.main.func2,Callees Mean [#],time,9.751896487733304e-10,1,0
,10202068672,main.main.func2,Total Inclusive T [ms],time,5127.207827,1,0
,10202068672,main.main.func2,Total Inclusive T [%],time,0.5025655082161752,1,0
,10202068672,main.main.func2,Total Exclusive T [ms],time,5019.843554,1,0
,10202068672,main.main.func2,Total Exclusive T [%],time,0.49204173343560886,1,0
,10202068672,main.main.func2,Total Morestack T [ms],time,0.0,1,0
,10202068672,main.main.func2,Total Morestack T [%],time,0.0,1,0
,10202068672,main.main.func2,I Mean,time,5127.207827,1,0
,10202068672,main.main.func2,E Mean,time,5019.843554,1,0
,10202068672,main.main.func2,I Min,time,5127207827.0,1,0
,10202068672,main.main.func2,E Min,time,5019843554.0,1,0
